정보처리기사
정보보안기사
빅데이터분석기사
SQLD
SQLP
ADsP
ADP
AWS Certified Solutions Architect - Associate
AWS Certified Developer - Associate
Google Cloud Associate Cloud Engineer
Microsoft Certified: Azure Fundamentals
CCNA
CCNP
CISA
CISSP
PMP
컴퓨터활용능력 1급
컴퓨터활용능력 2급
리눅스마스터 1급
리눅스마스터 2급
네트워크관리사 2급
